show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1749,tv show,bring it!,nan,nan,united states,2020-04-01,2014,tv-14,1 season,"black stories, lifestyle & culture, reality","coach dianna williams and her dancing dolls troupe are taking on the hip hop world - one dance off at a time! based in jackson, mississippi, it's coach d's dancing dolls versus the rest of the world in this real life bring it on.",79,hs1749,1,season
s1750,tv show,hatfields & mccoys,nan,nan,nan,2020-04-01,2012,tv-14,1 season,"action, adventure, drama",a bitter blood feud between the two families on the west virginia/kentucky border in the years after the civil war.,42,hs1750,1,season
s1751,tv show,hidden potential,nan,nan,nan,2020-04-01,2018,tv-g,1 season,"lifestyle & culture, reality",california builder and designer jasmine roth is on a mission to change the belief that all suburban homes look the same. she adds unique features to transform builder-basic houses into custom dream homes.,46,hs1751,1,season
s1752,tv show,kids behind bars: life or parole,nan,nan,united states,2020-04-01,2019,tv-14,1 season,"crime, documentaries","""kids behind bars: life or parole"" tells the individual stories of eight previously convicted child offenders sentenced to mandatory life terms, without parole, who are now seeking resentencing on the heels of a recent united states supreme court ruling.",30,hs1752,1,season
s1753,tv show,little women: la,nan,nan,united states,2020-04-01,2014,tv-14,1 season,"drama, reality","at first blush, little women is just another docusoap about a group of smart, dynamic friends living in los angeles. with money in their pockets and the city of angels at their feet, the ladies of this show seem poised to take viewers on a journey through their real-life sex and the city world.",8,hs1753,1,season
s1754,tv show,taken at birth,nan,nan,united states,2020-04-01,2019,tv-14,1 season,"documentaries, reality","in 1997 a shocking story surfaced. thomas hicks, a georgia doctor, had illegally sold more than 200 babies from the back door of his clinic. lead investigator jane blasio is joined by lisa joyner and chris jacobs to find closure for those stolen babies.",4,hs1754,1,season
s1755,tv show,the family chantel,nan,nan,united states,2020-04-01,2019,tv-14,1 season,"documentaries, reality","we know and love this explosive family from 90 day fiancé, but we will now explore the two additional 90 day relationships happening within chantal's own family.",97,hs1755,1,season
s1756,tv show,the food that built america,nan,nan,nan,2020-04-01,2019,tv-pg,1 season,"cooking & food, documentaries, lifestyle & culture","for generations of americans, food titans like henry heinz, milton hershey, john and will kellogg, c.w. post and the mcdonald brothers have literally been household names, but you don't know their stories.",42,hs1756,1,season
s1757,tv show,the kitchen,nan,nan,united states,2020-04-01,2014,tv-g,3 season,"cooking & food, lifestyle & culture","looking for recipes and meal tips from an all-star lineup of food network hosts? then ""the kitchen"" is for you. the hourlong show, featuring hosts sunny anderson, katie lee, jeff mauro, marcela valladolid and geoffrey zakarian, shares simple dinner recipes and family meal tips, plays trivia games, and answers viewer questions in addition to just shooting the breeze about all things food. with a roster that includes a ""food network star"" winner who specializes in making sandwiches, an iron chef, and a tijuana native who is known for her mexican cuisine, there's sure to be something of interest for all home cooks in food network's ""kitchen.""",63,hs1757,3,season
s1758,tv show,the witch,nan,nan,nan,2020-04-01,2011,tv-pg,1 season,"drama, international, latino",amanda is a beautiful witch who becomes a large influence on the nation.,62,hs1758,1,season
s1759,movie,who let the dogs out,nan,nan,canada,2020-04-01,2019,61 min,nan,documentaries,"the origin story of the smash hit ""who let the dogs out""; a story steeped in legal battles, female empowerment and artist integrity, which all beckons the question: will we ever know who let the dogs out?",21,hs1759,nan,nan
s1760,tv show,luther,nan,nan,united kingdom,2020-03-31,2010,tv-ma,5 season,"crime, drama, international","on a moral crusade, with only his convictions for company, john luther (idris elba) is a deeply troubled man, a philosophical cop possessed by the insoluble problem of evil and justice in a godless world, who gets pulled to the very edge of temptation.",21,hs1760,5,season
s1761,tv show,baghdad central,nan,nan,united kingdom,2020-03-27,2020,tv-14,1 season,"drama, thriller","baghdad 2003; saddam hussein has been thrown out of power and us-led coalition forces now occupy iraq. muhsin al-khafaji, a care-worn but resilient ex-iraqi police inspector no longer recognizes the country that surrounds him. when his eldest and recently estranged daughter, sawsan, goes missing he makes it his sole aim to track her down and bring her home.",91,hs1761,1,season
