show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1230,movie,tall tale,jeremiah chechik,"scott glenn, oliver platt, nick stahl, stephen lang, roger brown, jared harris",united states,2019-11-12,1995,pg,97 min,"action-adventure, western",it's all up to pecos bill to save a boy's family farm in this rousing western adventure.,65,ds1230,97,min
s1231,movie,tangled,"nathan greno, byron howard","mandy moore, zachary levi, donna murphy, ron perlman, m.c. gainey, jeffrey tambor",united states,2019-11-12,2010,pg,101 min,"action-adventure, animation, family","rapunzel and flynn set off on a hilarious, hair-raising escapade.",16,ds1231,101,min
s1232,movie,tangled before ever after,"tom caulfield, stephen sandoval","zachary levi, mandy moore, eden espinosa, clancy brown, julie bowen, laura benanti",united states,2019-11-12,2017,tv-y7,58 min,"animation, coming of age, fantasy",rapunzel escapes for a night of freedom before her coronation.,4,ds1232,58,min
s1233,movie,tarzan & jane,steve loter,"michael weiss, olivia d'abo, rene auberjonois, jeff bennett, jim cummings, grey delisle",united states,2019-11-12,2002,tv-pg,78 min,"action-adventure, animation",tarzan and jane celebrate their first year in the jungle.,47,ds1233,78,min
s1234,movie,teacher's pet,timothy björklund,"nathan lane, kelsey grammer, shaun fleming, debra rupp, david stiers, jerry stiller",united states,2019-11-12,2004,pg,75 min,"animation, comedy, family",a dog discovers that his dream of becoming a real boy isn't so far-fetched.,43,ds1234,75,min
s1235,movie,teen beach 2,jeffrey hornaday,"ross lynch, maia mitchell, grace phipps, garrett clayton, john deluca, chrissie fit",united states,2019-11-12,2015,tv-g,106 min,"fantasy, musical",mack and brady get a real-world visit from their retro movie compadres.,48,ds1235,106,min
s1236,movie,teen beach movie,jeffrey hornaday,"ross lynch, maia mitchell, grace phipps, garrett clayton, john deluca, chrissie fit",united states,2019-11-12,2013,tv-g,97 min,"coming of age, fantasy, musical",mckenzie and her boyfriend brady catch a wave into a retro coastal musical.,54,ds1236,97,min
s1237,movie,teen spirit,gil junger,"cassie scerbo, lindsey shaw, chris zylka, tim gunn, carissa capobianco, gabriela lopez",united states,2019-11-12,2011,tv-14,82 min,"buddy, comedy, coming of age","to save her soul, amber must pull off a high-school miracle.",24,ds1237,82,min
s1238,movie,that darn cat,bob spiers,"christina ricci, doug doug, george dzundza, peter boyle, michael mckean, bess armstrong",united states,2019-11-12,1997,pg,90 min,"animals & nature, comedy, family","a teen, a cat and a rookie fbi agent team up to solve a kidnapping.",95,ds1238,90,min
s1239,movie,that darn cat!,robert stevenson,"hayley mills, dean jones, dorothy provine, roddy mcdowall, neville brand, elsa lanchester",united states,2019-11-12,1965,g,116 min,"animals & nature, comedy, family",a cat holds the clue to bank robbers holding a teller hostage.,46,ds1239,116,min
s1240,movie,the absent-minded professor,robert stevenson,"fred macmurray, nancy olson, keenan wynn, tommy kirk, leon ames, elliott reid",united states,2019-11-12,1961,g,96 min,"comedy, family, science fiction",a bumbling professor invents gravity-defying flubber.,33,ds1240,96,min
s1241,movie,the adventures of andré & wally b.,alvy smith,nan,united states,2019-11-12,1984,tv-g,2 min,"animation, kids",andre awakens from a nap and is greeted by a pesky bee.,56,ds1241,2,min
s1242,movie,the adventures of bullwhip griffin,james neilson,"roddy mcdowall, suzanne pleshette, karl malden, harry guardino, richard haydn, hermione baddeley",united states,2019-11-12,1967,tv-pg,111 min,"action-adventure, comedy, family",a boy joins the california gold rush with his trusty butler on his tail. see details for advisory.,15,ds1242,111,min
s1243,movie,the adventures of huck finn,stephen sommers,"elijah wood, courtney vance, robbie coltrane, jason robards, ron perlman, dana ivey",united states,2019-11-12,1993,pg,108 min,"action-adventure, coming of age, drama",huck and a runaway slave brave the mississippi river in search of freedom.,10,ds1243,108,min
s1244,movie,the adventures of ichabod and mr. toad,"jack kinney, clyde geronimi, james algar","bing crosby, basil rathbone, eric blore, pat o'malley, john ployardt, colin campbell",united states,2019-11-12,1949,g,69 min,"action-adventure, animation, anthology",enjoy two classic stories with toad's wild ride and the headless horseman.,6,ds1244,69,min
s1245,tv show,the adventures of spin and marty,nan,"david stollery, tim considine",united states,2019-11-12,1955,tv-g,1 season,"buddy, coming of age, family",spin and marty have adventures during the summer at triple r ranch. see details for advisory.,86,ds1245,1,season
s1246,movie,the african lion,james algar,winston hibler,united states,2019-11-12,1955,g,72 min,"animals & nature, documentary, family",two wildlife experts spend years studying the majestic african lion.,15,ds1246,72,min
s1247,movie,the apple dumpling gang,norman tokar,"bill bixby, susan clark, don knotts, tim conway, david wayne, slim pickens",united states,2019-11-12,1975,g,100 min,"comedy, family, western",bumbling outlaws help three young orphans protect their huge gold nugget. see details for advisory.,55,ds1247,100,min
s1248,movie,the apple dumpling gang rides again,vincent mceveety,"tim conway, don knotts, tim matheson, kenneth mars, elyssa davalos, jack elam",united states,2019-11-12,1979,g,89 min,"comedy, family, western",two bumbling outlaw wannabes just can't succeed in going straight. see details for advisory.,99,ds1248,89,min
s1249,movie,the aristocats,wolfgang reitherman,"phil harris, eva gabor, sterling holloway, scatman crothers, paul winchell, lord tim hudson",united states,2019-11-12,1970,g,81 min,"action-adventure, animation, comedy",a pedigreed cat and her kittens are catnapped by a greedy butler. see details for advisory.,54,ds1249,81,min
s1250,movie,the art of skiing,jack kinney,john mcleish,united states,2019-11-12,1941,tv-g,8 min,"animation, comedy, family",goofy demonstrates the art of skiing. see details for advisory.,71,ds1250,8,min
s1251,tv show,the avengers: earth's mightiest heroes,nan,"eric loomis, bumper robinson, dawn olivera, phil lamarr, alex desert, kari wuhrer",united states,2019-11-12,2010,tv-y7,2 season,"action-adventure, animation, kids",chaos sweeps over the planet as the super villain prison system breaks down.,54,ds1251,2,season
